word	meaning
monitor	n.級長
monopoly	n.壟斷；專利
monotony	n.單調
monstrous	adj.怪物的；恐怖的
morale	n.士氣
mortal	adj.必死的
mortar	n.灰泥
motherhood	n.母性
motif	n.主旨
motivation	n.動機
motto	n.箴言；座右銘
mourn	v.悲悼
multiple	adj.多重的
muscular	adj.肌肉的
muse	n.繆思女神；詩興
mustache	n.鬚
mustard	n.芥末
mute	adj.沉默的
mutton	n.羊肉
mythology	n.神話學
nag	v.不斷地挑剔
naive	adj. 天真的；樸素的
narrate	v.敘述
narrative	n.故事
naturally	adv.自然地
needy	adj.非常貧窮的
negligible	adj.不重要的
negotiable	adj.可協商的
newcomer	n.新來者
newlywed	n.新婚的人
newscaster	n.新聞播報員
nickel	n.鎳
nightingale	n.夜鶯
nitrogen	n.氮
nobility	n.高貴；高尚
nominal	adj.名義上的；不重要或無價值的
nominate	v.提名某人；指派
nomination	n.提名；任命
nominee	n.被提名人
nonetheless	adv./conj.但是；仍然
noodle	n.笨人；傻瓜
notable	adj.顯著的
notably	adv.顯著地；尤其
noteworthy	adj.值得注意的
noticeable	adj.顯明的
notify	v.通知
novelty	n.新鮮；新奇
nucleus	n.中心；核心
nude	adj.裸體的
nuisance	n.討厭的事物、人、行為等
numerical	adj.數字的；表示數量
nurture	n.養育；教養
nutrition	n.營養；營養學
oasis	n.綠洲
oath	n.誓約；詛咒
obituary	n.訃聞
oblong	n./adj.長方形；長方形的
obscure	adj./n.使暗；使不明顯；暗的；不明顯的
observant	adj.善於觀察的
observatory	n.天文臺；氣象臺
obsession	n.成見；頑念
obviously	adv.明顯地
odds	n.可能的機會
offspring	n.後代；後裔
ointment	n.藥膏
omen	n.微兆；預兆
ominous	adj.惡兆的；不祥的
onset	n.進攻；有力的開始
operational	adj.操作的；管理的
opponent	n.對手
oppress	v.壓迫；壓制
optical	adj.視覺的
optimism	n.樂觀；樂天
optimistic	adj.樂觀的；有信心的
option	n.選擇權；選擇力
optional	adj.可選擇的；隨意的
ordering	n.安排；佈置
ordinance	n.法令；條例
ordinarily	adj.正常地；普通地
orient	v.使朝向東方
oriental	n./adj.東方人；東方的
originality	n.創新；創造力
ornament	n.裝飾
orphanage	n.孤兒院
orthodox	adj.正統的；傳統的
oust	v.驅逐
outbreak	v.爆發；發生
outfit	n.裝備；用具
outing	n.遠足
outlaw	n.罪犯
outlet	n.出口；出路
outnumber	v.比·多
out-of-date	adj.過時的
outrage	n.暴行
outrageous	adj.駭人的；暴虐的
outset	n.開始
outskirts	n.邊界；市郊
outward	adj.外面的；肉體的
overdo	v.做太多或過份
overhear	v.偷聽；無意中聽到
overlap	v.部分重疊；部分相同
overturn	v.使傾覆；推翻
oxidation	n.氧化(作用)
oyster	n.牡蠣
pact	n.協定；公約
painfully	adv.痛苦地
panacea	n.萬靈藥
pane	n.窗玻璃片
panorama	n.全景
parachute	n.降落傘
paradoxically	adv.似是而非地
paragon	n.模範
paralyze	v.使麻痺；使癱瘓
paramount	adj./n.至上的；最高統治者
parking	n.停車
parlor	n.起居室；會客室
partially	adv.部分地
participant	n.參與者；分享者
part-time	adj./adv.兼任的
passerby	n.穿過；通過
passionate	adj.熱情的
paste	n.麵團
pasture	n.牧地；草原
pat	n.拍
pathetic	adj.悲哀的
patiently	adv.耐心地
patron	n.贊助人
pavement	n.人行道
paw	n.腳掌；腳爪
pawn	v.典當
pawnshop	n.當鋪
payday	n.發薪日
peasant	n.佃農
pedal	n.踏板
pedestrian	n.行人
peer	n.同輩
penetrate	v.進入；看穿
penetrating	adj.敏銳的
penicillin	n.盤尼西林
penis	n.男生殖器
pension	n.養老金
pentagon	n.五角形
perch	n.棲木；高而安全的地位
performer	n.執行者；表演者
peril	n.危險
periodic	adj.定期的
periodical	n.期刊
perish	v.毀滅；死亡
perpetual	adj.永久的
perplex	v.使困惑
perseverance	n.不屈不撓
pertain	v.有關
pessimism	n.悲觀(主義)
pesticide	n.殺蟲劑
petition	n.請願(書)
petroleum	n.石油
petty	adj.不重要的
pharmacy	n.藥房
philharmonic	adj.愛樂(團體)的
photographic	adj.攝影(用)的
physiological	adj.生理學的
picket	n.糾察隊員
pick-up	n.擴音器
picturesque	adj.似畫的
piety	n.虔誠
pigment	n.顏料
pilgrimage	n.朝聖者的旅程
pillar	n.柱子
pimple	n.粉刺；面皰
pint	n.品脫(液量名)
pious	adj.虔誠的
pipeline	n.管線
pirate	n.海盜
piston	n.活塞
pitcher	n.大水罐；投手
plague	n./v.瘟疫；折磨
plainly	adv.清楚地
planetary	adj.行星的
planning	n.計畫
plantation	n.種植園
plaster	n.灰泥
Plato	n.柏拉圖(古希臘哲學家)
playmate	n.玩伴
playwright	n.劇作家
plea	n.懇求
pledge	v.發誓；保證
plow	v.耕(地)
plug	n.塞子
pneumonia	n.肺炎
Polish	adj.波蘭的；波蘭人(語)的
poll	n.民意調查
pollutant	n.污染物
polynomial	n.多詞學名；多項式
ponder	v.深思
populate	v.移居於
portfolio	n.文件夾；投資組合
postman	n.郵差
posture	n.姿勢
post-war	adj.戰後的
potent	adj.有效力的
potentiality	n.潛在性
potter	n./v.陶藝家；閒逛
poultry	n.家禽(肉)
practitioner	n.開業者
praiseworthy	adj.值得讚揚的
preacher	n.傳教士
precaution	n.預防措施
precedent	n.慣例
predecessor	n.前輩
predicament	n.困境
prediction	n.預言
preface	n.前言
preferably	adv.更好地
preference	n.偏愛
preliminary	adj./n.初步的；初步行動
premature	adj.過早的
premier	n.首相
premise	n.前提
premium	n.保險費
preoccupation	n.全神貫注
preoccupy	v.使全神貫注
prescribe	v.開(樂方)
prescription	n.藥方
presently	adv.不久
preside	v.主持
presidency	n.總統(校長)的職位
presidential	adj.總統(校長)的
presumption	n.推測
preventive	adj.預防的
preview	n.預習；預演
principally	adv.主要(地)
privately	adv.私下地
probe	v.探查
proceeding	n.措施
processing	n.過程
proclamation	n.公告
productivity	n.生產力
profess	v.自稱
proficient	adj.精通的
profile	n.側面像；輪廓
progressive	adj.不斷前進的
prohibition	n.禁止
projection	n.凸出物；設計；投影
prone	adj.易於發生(不愉快事)的；有傾向的
pronoun	n.代名詞
prophesy	v.預言
prose	n.散文
prosecute	v. 對…起訴
prosecution	n.(被)起訴
prosper	v.興旺
prostitute	n./v.妓女；出賣(名譽等)
proudly	adv.驕傲地
provincial	adj.省的
provoke	v.激怒
prudent	adj.小心謹慎的
prune	v.修剪；刪除
psalm	n.聖歌
psychiatrist	n.精神科醫生
psychiatry	n.精神病學
pulmonary	adj.肺(病)的
pulse	n.脈搏
punctuation	n.標點(法)
purely	adv.完全地
purity	n.純潔
pyjamas	n.睡衣褲
quaint	adj.奇特的
quarrelsome	adj.好爭吵的
quest	n.探索
questionnaire	n.問卷
queue	n./v.行列；排隊
rack	n.置物架
radiate	v.發射
rag	n.破布
raid	n.突擊
raincoat	n.雨衣
rally	v./n.集合；開玩笑
rancher	n.農場主人
ransom	n.贖金
rape	v.強姦
ratify	v.批准
reactionary	adj.保守的；反動的
readiness	n.準備就緒；迅速
reassure	v.使安心
rebellion	n.造反
rebellious	adj.難管教的
rebuild	v.重建
recapture	v.再體驗
recession	n.經濟衰退
recipient	n.接受者
reckless	adj.輕率的
reckon	v.推斷
recollect	v.想起
reconcile	v.調解
reconstruction	n.重建(物)
recruit	v.招募
redundant	adj.過剩的
reel	n./v.捲軸；捲；蹣跚
referendum	n.公民投票
refine	v.提煉
refinement	n.精製品
refrain	v.抑制
refund	n.退款
regiment	n.(軍)團
rehabilitate	v.使恢復
rehabilitation	n.康復
reign	n.君主統治時期
rein	n.韁繩；統治
rejoice	v.高興
relatively	adv.相對地
relinquish	v.放棄
relish	n./v.美味；喜愛
reluctantly	adv.不願意地
remains	n.遺跡
reminiscence	n.回憶
reminiscent	adj.使人憶起…的
renaissance	n.復興
renowned	adj.著名的
reorganization	n.改組
repay	v.償還
repel	v.擊退
repent	v.後悔
replaceable	adj.可取代的
repress	v.抑制
republican	adj./n.共和國的；共和主義者
resemblance	n.相似
resent	v.不滿
reservoir	n.蓄水池
reside	v.居住
resonance	n.共嗚
resort	n.度假地
restoration	n.恢復
restraint	n.克制
resultant	adj.做為…後果的
resume	v.重新開始
retail	n./adj./adv.零售；零售的(地)
retaliate	v.報復
retort	v./n.反駁
retrieve	v.找回
revive	v.復活
revolve	v.使旋轉
rhetoric	n.修辭學
rhythmic	adj.韻律的
rib	n.肋骨
righteous	adj.正直的
rigorous	adj.嚴密的
riot	n.暴動
rite	n.儀式
ritual	n.(儀式的)活動
rival	n.對手
roach	n.蟑鄉；大麻煙卷的煙蒂
robin	n.知更鳥
rotate	v. 使旋轉
rotation	n.旋轉
royalty	n.皇室成員
rugged	adj.崎嶇的
saddle	n.馬鞍
saloon	n.大轎車；酒館；交誼廳
salute	v.行舉手禮
salvage	n./v.搶救
salvation	n.救星
sanction	n.批准
sandal	n.涼鞋
sanitation	n.衛生設備
sarcastic	adj.諷刺的
Satan	n.魔鬼；撒旦
satire	n.諷刺文學
satisfactorily	adv.令人滿意地
savage	adj.兇猛的
scan	v.細看；掃描
scandal	n.醜聞
scarlet	adj.鮮紅色的
scholastic	adj.學校的
scorn	n./v.輕蔑；鄙視
scrap	n.碎片
scrape	v.把…括除
scratch	v.抓(傷)
script	n.原稿
scrutiny	n.細查
sculpture	n.雕塑(品)
seam	n.接縫
secular	adj.世俗的
secure	adj.安全的
seduce	v.慫恿；引誘
seemingly	adv.看樣子
segregate	v.隔離開
seminar	n.研討會
sensation	n.感覺
sensibility	n.判斷力
sentimental	adj.感情上的
separately	adv.個別地
separation	n.分開
sequential	adj.隨之而來的
sermon	n.說教；佈道
serum	n.血清
settler	n.移民
sever	v.割斷
severely	adv.嚴重地
sewer	n.下水道
shaft	n.把手
shear	n.剪；切斷
shed	v.使流出
sheer	adj.純粹的
shepherd	n./v.牧羊人；引導
shift	n.變換
shipment	n.一批貨物
shiver	v.顫抖
shortage	n.短缺
shortcoming	n.缺點
shorten	v.使縮短
shortsighted	adj.近視的
sibling	n.手足
silently	adv.寂靜地
similarly	adv.同樣地
simplicity	n.樸素
simplify	v.使單純
simultaneously	adv.同時
sinister	adj.陰險的
sitter	n.模特兒
situate	v.使位於
situated	adj.坐落在…的
sizable	adj.相當大的
skeleton	n.骨骸
slam	v.使勁關閉
slap	n.一巴掌
slash	v.亂砍
sloppy	adj.馬虎的
slug	n.子彈；蛞蝓
slum	n.貧民窟
smallpox	n.天花
smuggle	v.走私
snatch	v.搶
sneak	v.鬼鬼祟祟地走
sneaker	n.鬼鬼祟祟做事的人
soak	v.浸泡
sob	v.啜泣
sober	adj.清醒的
socialism	n.社會主義
socially	adj.善於交際地
sociological	adj.社會學的
sociology	n.社會學
sodium	n.鈉
solar	adj.太陽的
sole	n.腳底(板)；鞋底
solely	adj.唯一地
solicitor	n.懇求者；事務律師
solidarity	n.團結
solitary	adj.獨居的
solitude	n.孤獨
solo	n./adj.獨唱；單獨的
souvenir	n.紀念品
sovereign	n.元首
sovereignty	n.主權
sow	v.播(種)
spectacles	n.眼鏡
spectacular	adj.壯觀的
spectra	n.光譜
speculate	v.推測；投機
sperm	n.精子
spinach	n.菠菜
sponsor	v./n贊助(者)
spontaneous	adj.自發的
spouse	n.配偶
sprawl	v.伸開四肢躺(坐)
spray	v.噴；濺散
spur	n.馬刺；激勵
squad	n.爭吵
squarely	adv.正直地
stability	n.穩定性
stack	v.使成堆
stadium	n.(露天)運動場
stagger	v.蹣跚
stall	n.攤位
standardize	v.使標準化
standpoint	n.立場
staple	n./adj.釘書針；主要的
startle	v.使大吃一驚
statesman	n.政治家
static	adj.靜態的
stationary	adj.靜止的
stationery	n.文具
statistical	adj.統計(學)的
stature	n.高水平；身材
statute	n.法令
steer	v.駕駛
stepchild	n.妻與前夫(或夫與前妻)所生的孩子
stereotype	n.老套
steward	n.服務員
stimulation	n.刺激
stimulus	n.刺激(物)
stoop	v.彎腰
storage	n.儲存
straighten	v.清理
strain	v.扭傷
strategic	adj.戰略(性)的
streak	n./v.條紋；快速移動
streetcar	n.(市內)有軌電車
stride	v.邁大步走
structural	adj.結構上的
sturdy	adj.強健的
subdue	v.使屈服
subjective	adj.主觀的
submit	v.提交
subscribe	v.訂購
subsequently	adv.後來
subsidy	n.補貼
substantially	adv.充足地
successive	adj.連續的
suckle	v.哺乳
suffering	n.苦難
suffocate	v.(使)窒息而死
sugarcane	n.甘蔗
suitcase	n.手提箱
summon	v.召喚
sunlight	n.陽光
sunset	n.日落
sunshine	n.陽光
superb	adj.極好的
superficial	adj.表面(皮)的
superfluous	adj.過多的
superhighway	n.超級高速公路
superimpose	v.使重疊
superintendent	n.監護人；警長
superiority	n.優越
supermarket	n.超級市場
superstition	n.迷信
superstitious	adj.迷信的
supervise	v.監督
supervisor	n.監督人
supplement	n.補充
supposedly	adv.據推測
suppress	v.鎮壓
surface	n./adj./v. 表面(的)；顯露
surge	v.洶湧向前
surname	n.姓
surrender	v.投降
survivor	n.生還者
suspension	n.中止
sway	v.(使)搖動
swift	adj.迅速的
syllabus	n.教學大綱
symmetry	n.對稱(性)
synonym	n.同義詞
synthesis	n.綜合(體)；合成
systematically	adv.有系統地
tablespoon	n.大湯匙
tablet	n.藥片
tabloid	n.小報
taboo	n.禁忌
tackle	v.處理
tag	n.標籤
talkative	adj.健談的
tame	adj.馴∣服的
tan	v.(使)曬黑
tangerine	n.橘子
tangible	adj.明確的；實質的
tanker	n.油輪
tariff	n.關稅
teller	n.講故事者；銀行出納員
temperament	n.氣質
tempest	n.暴風(雨、雪)
tempt	v.慫恿
temptation	n.誘惑
tenant	n.房客
tentative	adj.試驗性的
terminal	n.終點；總站
terminate	v.(使)終止
terrace	n.陽臺
testify	v.作證
theatrical	adj.戲劇的
theft	n.偷竊
then	adj./adv.那時
theologian	n.神學家
theological	adj.神學(上)的
theoretical	adj.理論(上)的
therapeutic	adj.有療效的
therapist	n.治療專家
thermal	adj.熱(量)的
thesis	n.論文
thigh	n.大腿
threshold	n.門檻；開端
thrift	n.節儉
thrill	v./n.使激動；興奮
thrilling	adj.令人激動的
thrive	v.興旺
thunderstorm	n.雷雨
thyroid	n.甲狀腺
tightly	adv.堅固地
token	n.記號
toll	n.通行費
toothbrush	n.牙刷
torture	v.拷打；折磨
totally	adj.完全地
touchstone	n.試金石；(檢驗)標準
tournament	n.錦標賽
tow	v./n.拖
toxic	adj.有毒的
tractor	n.拖拉機
tranquil	adj.寧靜的
tranquilizer	n.鎮靜劑
transcend	v.超越
transformation	n.轉變
transit	n.運輸
transition	n.過渡(期)
transmission	n.傳播
transmit	v.傳播
transplant	v./n.移植
transport	n.運輸(系統)
trauma	n.精神創傷；外傷
traverse	v.橫越
trespass	v.擅入
tribune	n.護民官
trigger	n./v.扳機；引發
trim	v.修剪
triumphant	adj.勝利的
trivial	adj.瑣碎的
trophy	n.獎品
tsunami	n.(源自日語)海嘯
tuberculosis	n.肺結核
tuition	n.學費
tumble	v.跌倒
tumor	n.腫瘤
turmoil	n.混亂
tumpike	n.付費高速公路
tutor	n.家庭教師
twig	n.細枝
tyrant	n.暴君
ulcer	n.潰瘍
ultimately	adv.最後
ultraviolet	adj.紫外(線)的
unanimously	adv.全體一致地
unaware	adj.沒有察覺到的
uncomfortable	adj.不舒服的
unconsciously	adv.無意識地
underdeveloped	adj.低度開發的
underestimate	v.低估
undergo	v.接受；經歷
undergraduate	n.大學肄業生
underground	adj.地(面)下的；祕密的
underline	v. 在…之下劃線
understandable	adj.可理解的
undertake	v.承擔
underwrite	v.為…保險
undesirable	adj.令人不快的
undue	adj.過份的
unemployed	adj.失業的
unemployment	n.失業人數
unexpectedly	adj.未料到地
unfair	adj.不公平的
unforgettable	adj.難忘的
unfortunate	adj.不幸的
ungrateful	adj.忘恩負義的
unify	v.統一
unlimited	adj.無限的
unload	v.從…卸下(貨物)
unlock	v.開啟
unofficial	adj.非正式的
unpleasant	adj.使人不愉快的
unprecedented	adj.前所未有的
unpredictable	adj.不可預測的
unrest	n.動亂
untouched	adj.未觸動過的
unusually	adv.非常
upbringing	n.養育
upend	v.把…倒置
upgrade	v.提升
uplift	v.抬起
uproot	v.根除
uranium	n.鈾
urgency	n.緊急
usefulness	n.有效
usher	n.迎賓員
utensil	n.器皿
utmost	adj.極度的
Utopia	prop./n.烏托邦
utterly	adj.完全地
vacancy	n.空位
vaccine	n.疫苗
vacuum	n.真空；空虛(感)
vaguely	adv.模糊地
validity	n.有效力
vanilla	n.香草
vanity	n.自負
vapor	n.水蒸氣
variable	adj.易變的
variation	n.變化
veil	n.面紗
vent	n.通風孔
venture	n.冒險(行為)；投機
Venus	n.維納斯女神；金星
verbal	adj.口頭的
verdict	n.判決
verify	v.證實
versatile	adj.多才多藝的
vertical	adj.垂直的
vet	n./v.獸醫；審查
vex	v.使惱怒
via	prep.取道
viable	adj.切實可行的
vibration	n.振動
vicious	adj.惡意的
victimize	v.使犧牲
vigor/vigour	n.精力
vigorously	adv.精力充沛地
villa	n.別墅
villain	n.反派角色
vine	n.葡萄(藤)
vinegar	n.醋
vineyard	n.葡萄園
virtually	adv.幾乎
virtuous	adj.品德高尚的
visa	n.簽證
visualize	v.想像
vocal	adj.發音的
vocation	n.職業
vogue	n.流行
volcano	n.火山
vomit	v.嘔吐
vow	n.誓言
vulgar	adj.粗俗的
vulnerable	adj.脆弱的
Walkman	n.隨身聽
walnut	n.胡桃(樹)
warrant	n.搜查令
warrior	n.戰士
warship	n.軍艦
wax	n.蠟
wayside	n.路邊
weaken	v.削弱
weary	adj.筋疲力竭的
weed	n.雜草
whatsoever	adj.任何的
wheelchair	n.輪椅
whereabouts	adv.在哪兒
whereby	adv.憑藉
whichever	adj./pron.無論哪個
wholesale	n./adj.批發；大批的
wholly	adv.完全地
widower	n.鰥夫
wilderness	n.荒野
wildly	adv.野生地
willingness	n.自願
withhold	v.保留
withstand	v.抵擋
woe	n.悲傷
wolf	n.色狼
worship	v.崇拜
wreckage	n.殘骸
yacht	n.帆船；遊艇
Yale	n.耶魯大學
yearn	v.渴望
yeast	n.酵母(菌)
yield	v.出產
zeal	n.渴望
zealously	adv.熱心地
zebra	n.斑馬
zoology	n.動物學
